RegionName,Date,Predicted_Value
Oklahoma City,2025-07-31,257513.642724458
Oklahoma City,2025-08-31,255402.66584538048
Raleigh,2025-03-31,436531.535170047
Raleigh,2025-04-30,462445.86257926334
Raleigh,2025-05-31,465417.8008299237
Raleigh,2025-06-30,474860.7206084712
Raleigh,2025-07-31,469645.9863655113
Raleigh,2025-08-31,461140.4933159657
Memphis,2025-03-31,236883.195783388
Memphis,2025-04-30,240315.4777016994
Memphis,2025-05-31,259591.63064248324
Memphis,2025-06-30,259580.2827280969
Memphis,2025-07-31,258931.52763343084
Memphis,2025-08-31,248902.82868375024
Richmond,2025-03-31,369839.3314976587
Richmond,2025-04-30,379095.72503634944
Richmond,2025-05-31,395333.7171570448
Richmond,2025-06-30,404071.962267516
Richmond,2025-07-31,405100.35963884194
Richmond,2025-08-31,387274.60288162704
Louisville,2025-03-31,253170.3717475803
Louisville,2025-04-30,263338.5598246036
Louisville,2025-05-31,273736.74906046654
Louisville,2025-06-30,279765.6639012124
Louisville,2025-07-31,276556.67793847533
Louisville,2025-08-31,268674.9265516397
New Orleans,2025-03-31,266646.53338593617
New Orleans,2025-04-30,280052.9621070561
New Orleans,2025-05-31,290497.38894634164
New Orleans,2025-06-30,300185.39693163184
New Orleans,2025-07-31,283737.2851327418
New Orleans,2025-08-31,275909.2097862744
Salt Lake City,2025-03-31,532632.3061738247
Salt Lake City,2025-04-30,545952.6748493104
Salt Lake City,2025-05-31,555728.9213313829
Salt Lake City,2025-06-30,550852.2246235261
Salt Lake City,2025-07-31,559346.931647926
Salt Lake City,2025-08-31,545972.5634615315
Hartford,2025-03-31,342982.1306098762
Hartford,2025-04-30,356945.4254775087
Hartford,2025-05-31,370526.564299076
Hartford,2025-06-30,393463.7796558247
Hartford,2025-07-31,385984.4288050767
Hartford,2025-08-31,385369.0316200804
Buffalo,2025-03-31,234844.124808386
Buffalo,2025-04-30,243867.1915635944
Buffalo,2025-05-31,263383.55957199354
Buffalo,2025-06-30,275295.8285100003
Buffalo,2025-07-31,291574.93329372536
Buffalo,2025-08-31,291473.7476169403
Birmingham,2025-03-31,236683.7767323276
Birmingham,2025-04-30,245120.89382727572
Birmingham,2025-05-31,268037.6966919134
Birmingham,2025-06-30,263190.99082477955
Birmingham,2025-07-31,251879.7596395652
Birmingham,2025-08-31,238931.6036009971
Rochester,2025-03-31,267066.19853726425
Rochester,2025-04-30,283126.9225134937
Rochester,2025-05-31,292135.4704239856
Rochester,2025-06-30,302118.70704577427
Rochester,2025-07-31,296385.2501421926
Rochester,2025-08-31,293373.3303357558
Grand Rapids,2025-03-31,323236.79038365046
Grand Rapids,2025-04-30,343434.05956110323
Grand Rapids,2025-05-31,344408.75207314646
Grand Rapids,2025-06-30,350027.7248516198
Grand Rapids,2025-07-31,349541.2385117332
Grand Rapids,2025-08-31,345627.8615203399
Tucson,2025-03-31,347479.939160966
Tucson,2025-04-30,358309.9736485325
Tucson,2025-05-31,359732.8676479536
Tucson,2025-06-30,360639.47685790336
Tucson,2025-07-31,357290.8706654694
Tucson,2025-08-31,352279.29114705813
Urban Honolulu,2025-03-31,698384.5124024546
Urban Honolulu,2025-04-30,716759.4306404573
Urban Honolulu,2025-05-31,674937.5841821902
Urban Honolulu,2025-06-30,763994.8771686514
Urban Honolulu,2025-07-31,725050.3754180808
Urban Honolulu,2025-08-31,727503.398828498
Tulsa,2025-03-31,247948.29869434805
Tulsa,2025-04-30,250656.64669404
Tulsa,2025-05-31,260120.8499214044
Tulsa,2025-06-30,269622.36254365457
Tulsa,2025-07-31,265545.15131077863
Tulsa,2025-08-31,265108.9216914319
Fresno,2025-03-31,400662.01535149233
Fresno,2025-04-30,402593.0556708999
Fresno,2025-05-31,406140.00643514463
Fresno,2025-06-30,421767.0256321688
Fresno,2025-07-31,416486.2972920304
Fresno,2025-08-31,409738.2838733322
Worcester,2025-03-31,417820.4232622008
Worcester,2025-04-30,447611.1115896932
Worcester,2025-05-31,465006.79937676806
Worcester,2025-06-30,491193.6624963292
Worcester,2025-07-31,481826.59612441785
Worcester,2025-08-31,480332.1651144493
Omaha,2025-03-31,280928.33929197805
Omaha,2025-04-30,295254.72448597423
Omaha,2025-05-31,309919.17404612806
Omaha,2025-06-30,312213.40934425127
Omaha,2025-07-31,307857.4904166876
Omaha,2025-08-31,303560.2446018464
Bridgeport,2025-03-31,590343.0384528053
Bridgeport,2025-04-30,653386.6537372611
Bridgeport,2025-05-31,656454.0987917092
Bridgeport,2025-06-30,767761.3878694343
Bridgeport,2025-07-31,713619.2811413598
Bridgeport,2025-08-31,733244.7802600964
Greenville,2025-03-31,263948.4572342315
Greenville,2025-04-30,266095.8610151023
Greenville,2025-05-31,283318.9974379622
Greenville,2025-06-30,295317.86141198035
Greenville,2025-07-31,294068.45477081795
Greenville,2025-08-31,286507.83714501647
Albuquerque,2025-03-31,352019.535290813
Albuquerque,2025-04-30,362835.9616124837
Albuquerque,2025-05-31,375833.2055821964
Albuquerque,2025-06-30,373712.0451343912
Albuquerque,2025-07-31,376452.2639620071
Albuquerque,2025-08-31,372023.294614381
Bakersfield,2025-03-31,343999.0636690445
Bakersfield,2025-04-30,360081.9650451064
Bakersfield,2025-05-31,368284.78386625735
Bakersfield,2025-06-30,363285.8600229483
Bakersfield,2025-07-31,369061.41865001625
Bakersfield,2025-08-31,366079.12879767
Albany,2025-03-31,301846.47543104755
Albany,2025-04-30,307629.5498938352
Albany,2025-05-31,335066.4289433574
Albany,2025-06-30,344307.9911668105
Albany,2025-07-31,346681.14600587706
Albany,2025-08-31,341739.15302957897
Knoxville,2025-03-31,349773.71921767946
Knoxville,2025-04-30,352910.507077977
Knoxville,2025-05-31,368218.6091249251
Knoxville,2025-06-30,375338.7287286619
Knoxville,2025-07-31,366491.28669246216
Knoxville,2025-08-31,362468.40182831575
Baton Rouge,2025-03-31,241834.37586988552
Baton Rouge,2025-04-30,251239.47359978748
Baton Rouge,2025-05-31,256214.85905360288
Baton Rouge,2025-06-30,261350.32702239952
Baton Rouge,2025-07-31,259809.56099364252
Baton Rouge,2025-08-31,252774.27395039125
McAllen,2025-03-31,207721.6548309374
McAllen,2025-04-30,208962.33020351917
McAllen,2025-05-31,229663.60464492984
McAllen,2025-06-30,230125.75583869856
McAllen,2025-07-31,227975.0449438601
McAllen,2025-08-31,223642.11449350129
New Haven,2025-03-31,349948.7894747923
New Haven,2025-04-30,361761.0800658325
New Haven,2025-05-31,371237.9059623921
New Haven,2025-06-30,388184.7166356717
New Haven,2025-07-31,388871.3750258856
New Haven,2025-08-31,389161.6821773037
El Paso,2025-03-31,237851.43641003096
El Paso,2025-04-30,247322.7085064412
El Paso,2025-05-31,252063.45821403948
El Paso,2025-06-30,251678.35006448295
El Paso,2025-07-31,256461.0370040939
El Paso,2025-08-31,247415.9343128546
Allentown,2025-03-31,318755.8537778841
Allentown,2025-04-30,321113.7800087794
Allentown,2025-05-31,332071.79194908653
Allentown,2025-06-30,352274.92706637795
Allentown,2025-07-31,344486.25584652444
Allentown,2025-08-31,348202.1510039933
Oxnard,2025-03-31,865725.0304424536
Oxnard,2025-04-30,894561.0452083995
Oxnard,2025-05-31,887855.073542215
Oxnard,2025-06-30,907083.6771111964
Oxnard,2025-07-31,900422.3335543297
Oxnard,2025-08-31,911929.327395478
Columbia,2025-03-31,274941.87253854604
Columbia,2025-04-30,285913.3180282557
Columbia,2025-05-31,287529.80822761595
Columbia,2025-06-30,297278.760854152
Columbia,2025-07-31,297750.9512805801
Columbia,2025-08-31,287878.88389666297
North Port,2025-03-31,436489.26920636767
North Port,2025-04-30,459137.0677736818
North Port,2025-05-31,452769.2195584247
North Port,2025-06-30,456026.46898494905
North Port,2025-07-31,426309.2134709556
North Port,2025-08-31,426337.8283660429
Dayton,2025-03-31,201287.91478736576
Dayton,2025-04-30,205819.27429199743
Dayton,2025-05-31,224406.3460117826
Dayton,2025-06-30,232243.3784571318
Dayton,2025-07-31,222061.9310553053
Dayton,2025-08-31,222191.8775055933
Charleston,2025-03-31,307407.68768234755
Charleston,2025-04-30,316667.8353696663
Charleston,2025-05-31,326297.9221572964
Charleston,2025-06-30,325332.03762477083
Charleston,2025-07-31,322180.70848105696
Charleston,2025-08-31,320720.00156442693
Greensboro,2025-03-31,235415.2224016536
Greensboro,2025-04-30,246867.40478606347
Greensboro,2025-05-31,258571.30019036515
Greensboro,2025-06-30,264190.0221363895
Greensboro,2025-07-31,256864.86707340291
Greensboro,2025-08-31,248807.8365027014
Stockton,2025-03-31,505743.6867708975
Stockton,2025-04-30,514887.2336872334
Stockton,2025-05-31,527721.9758078816
Stockton,2025-06-30,525422.5674353761
Stockton,2025-07-31,514449.57110917335
Stockton,2025-08-31,519563.1317936591
Cape Coral,2025-03-31,340936.02951701137
Cape Coral,2025-04-30,353090.1970220319
Cape Coral,2025-05-31,347714.96515168564
Cape Coral,2025-06-30,346408.7400817541
Cape Coral,2025-07-31,339063.1978189306
Cape Coral,2025-08-31,347807.8743452924
Boise City,2025-03-31,482359.8786573936
Boise City,2025-04-30,489946.2045078742
Boise City,2025-05-31,508395.8793951445
Boise City,2025-06-30,527829.9559001826
Boise City,2025-07-31,504758.3442772301
Boise City,2025-08-31,489518.9104987824
Colorado Springs,2025-03-31,450957.7651556359
Colorado Springs,2025-04-30,471481.7042921408
Colorado Springs,2025-05-31,474973.5658660846
Colorado Springs,2025-06-30,486497.9909612116
Colorado Springs,2025-07-31,482263.843125485
Colorado Springs,2025-08-31,467942.1306840325
Little Rock,2025-03-31,231535.1113569261
Little Rock,2025-04-30,234541.3876917277
Little Rock,2025-05-31,247251.11733486215
Little Rock,2025-06-30,249628.7180418186
Little Rock,2025-07-31,243761.91808627636
Little Rock,2025-08-31,248671.8986623097
Lakeland,2025-03-31,298800.5414421752
Lakeland,2025-04-30,304632.5060148584
Lakeland,2025-05-31,310353.3106747878
Lakeland,2025-06-30,313726.13941591245
Lakeland,2025-07-31,305133.5434224084
Lakeland,2025-08-31,311345.29524331907
Akron,2025-03-31,181755.0328626017
Akron,2025-04-30,189884.20645394712
Akron,2025-05-31,204556.91328721432
Akron,2025-06-30,210562.34491512223
Akron,2025-07-31,213138.99335728268
Akron,2025-08-31,213424.00365484145
Des Moines,2025-03-31,268002.0550834851
Des Moines,2025-04-30,276936.530756498
Des Moines,2025-05-31,288745.73314293154
Des Moines,2025-06-30,296960.4148194027
Des Moines,2025-07-31,293195.5891989692
Des Moines,2025-08-31,288698.153450153
Springfield,2025-03-31,224886.733727794
Springfield,2025-04-30,232298.03882061967
Springfield,2025-05-31,238885.8717688076
Springfield,2025-06-30,249297.27667331605
Springfield,2025-07-31,247257.04660593736
Springfield,2025-08-31,249930.9495438393
Poughkeepsie,2025-03-31,439825.8342706239
Poughkeepsie,2025-04-30,465534.4633403969
Poughkeepsie,2025-05-31,472678.48103922326
Poughkeepsie,2025-06-30,481143.36817298055
Poughkeepsie,2025-07-31,507258.2405401217
Poughkeepsie,2025-08-31,503611.66526681866
Ogden,2025-03-31,470454.889416852
Ogden,2025-04-30,485436.2178606734
Ogden,2025-05-31,497225.1142699274
Ogden,2025-06-30,494591.7846777886
Ogden,2025-07-31,493958.01302763546
Ogden,2025-08-31,491817.7200870931
Madison,2025-03-31,400914.75772060506
Madison,2025-04-30,420961.2594154337
Madison,2025-05-31,425002.0769506078
Madison,2025-06-30,439543.9196774704
Madison,2025-07-31,440929.0509261555
Madison,2025-08-31,433159.305042729
Winston,2025-03-31,255361.20043324123
Winston,2025-04-30,263496.060809438
Winston,2025-05-31,274037.9621759443
Winston,2025-06-30,282363.9101691823
Winston,2025-07-31,284524.0492729588
Winston,2025-08-31,278617.0724285509
Deltona,2025-03-31,338848.0915178786
Deltona,2025-04-30,343910.09002406546
Deltona,2025-05-31,346309.93216845003
Deltona,2025-06-30,348478.5312620784
Deltona,2025-07-31,343691.9799545999
Deltona,2025-08-31,345239.75965806504
Syracuse,2025-03-31,213259.6105600041
Syracuse,2025-04-30,230394.16185734732
Syracuse,2025-05-31,246030.1585884148
Syracuse,2025-06-30,259286.02114670136
Syracuse,2025-07-31,267269.7678605516
Syracuse,2025-08-31,270197.2437343703
Provo,2025-03-31,513911.5533228205
Provo,2025-04-30,522433.40283710026
Provo,2025-05-31,541447.8972524083
Provo,2025-06-30,537703.6897337866
Provo,2025-07-31,533629.2989940436
Provo,2025-08-31,532524.5906025514
Toledo,2025-03-31,161427.85173715206
Toledo,2025-04-30,176536.8697349937
Toledo,2025-05-31,176989.75589205616
Toledo,2025-06-30,186860.82789364792
Toledo,2025-07-31,192922.9407153025
Toledo,2025-08-31,193262.48683765056
Wichita,2025-03-31,226416.60581104853
Wichita,2025-04-30,230278.6471099519
Wichita,2025-05-31,243867.17587274525
Wichita,2025-06-30,254214.19663043157
Wichita,2025-07-31,252907.7582168483
Wichita,2025-08-31,249845.428498787
Durham,2025-03-31,429326.0923507335
Durham,2025-04-30,441078.3652027325
Durham,2025-05-31,456723.69151680014
Durham,2025-06-30,468008.2259568375
Durham,2025-07-31,455762.70924100553
Durham,2025-08-31,434132.7835773375
Augusta,2025-03-31,232685.2852977639
