RegionName,Date,Predicted_Value
"Denver, CO",2025-07-31,2004.8933077654344
"Denver, CO",2025-08-31,2006.8591098929471
"Baltimore, MD",2025-03-31,1853.9566328814385
"Baltimore, MD",2025-04-30,1862.612494029672
"Baltimore, MD",2025-05-31,1872.608340607976
"Baltimore, MD",2025-06-30,1881.9386743348807
"Baltimore, MD",2025-07-31,1889.75310186186
"Baltimore, MD",2025-08-31,1892.0196828018177
"St. Louis, MO",2025-03-31,1406.996899044202
"St. Louis, MO",2025-04-30,1417.2160422113718
"St. Louis, MO",2025-05-31,1426.2934540637643
"St. Louis, MO",2025-06-30,1434.189859667072
"St. Louis, MO",2025-07-31,1441.2761307369535
"St. Louis, MO",2025-08-31,1446.637805293819
"Orlando, FL",2025-03-31,2021.7832071660664
"Orlando, FL",2025-04-30,2025.19057100204
"Orlando, FL",2025-05-31,2031.041678172588
"Orlando, FL",2025-06-30,2037.4180048522055
"Orlando, FL",2025-07-31,2043.866497929763
"Orlando, FL",2025-08-31,2045.9151552945796
"Charlotte, NC",2025-03-31,1777.518853656958
"Charlotte, NC",2025-04-30,1781.7668356220186
"Charlotte, NC",2025-05-31,1788.2662484681157
"Charlotte, NC",2025-06-30,1795.271421810123
"Charlotte, NC",2025-07-31,1803.103933992038
"Charlotte, NC",2025-08-31,1806.443044959635
"San Antonio, TX",2025-03-31,1449.9282889382912
"San Antonio, TX",2025-04-30,1451.9910056312483
"San Antonio, TX",2025-05-31,1453.7424112772587
"San Antonio, TX",2025-06-30,1455.485106325748
"San Antonio, TX",2025-07-31,1457.812377836763
"San Antonio, TX",2025-08-31,1457.9090266867609
"Portland, OR",2025-03-31,1824.8920377270092
"Portland, OR",2025-04-30,1832.8974143936864
"Portland, OR",2025-05-31,1842.860793768953
"Portland, OR",2025-06-30,1852.147671313526
"Portland, OR",2025-07-31,1860.8187026151052
"Portland, OR",2025-08-31,1864.55604077527
"Sacramento, CA",2025-03-31,2326.0244515525133
"Sacramento, CA",2025-04-30,2337.5869080422813
"Sacramento, CA",2025-05-31,2350.397989939592
"Sacramento, CA",2025-06-30,2362.653731416585
"Sacramento, CA",2025-07-31,2373.151865312074
"Sacramento, CA",2025-08-31,2381.2174047045974
"Pittsburgh, PA",2025-03-31,1455.722882788793
"Pittsburgh, PA",2025-04-30,1462.1572247130664
"Pittsburgh, PA",2025-05-31,1468.4388074383294
"Pittsburgh, PA",2025-06-30,1474.418668407934
"Pittsburgh, PA",2025-07-31,1480.401448230307
"Pittsburgh, PA",2025-08-31,1483.4247531891367
"Cincinnati, OH",2025-03-31,1579.0135808913203
"Cincinnati, OH",2025-04-30,1589.9971326340933
"Cincinnati, OH",2025-05-31,1600.6155137565363
"Cincinnati, OH",2025-06-30,1607.854847832757
"Cincinnati, OH",2025-07-31,1616.2098178572164
"Cincinnati, OH",2025-08-31,1622.9380763181084
"Austin, TX",2025-03-31,1684.6979156771256
"Austin, TX",2025-04-30,1685.0180628140772
"Austin, TX",2025-05-31,1685.439352183239
"Austin, TX",2025-06-30,1685.9009747452958
"Austin, TX",2025-07-31,1686.9381000078408
"Austin, TX",2025-08-31,1681.510462255356
"Las Vegas, NV",2025-03-31,1781.2818536245522
"Las Vegas, NV",2025-04-30,1785.0904006727794
"Las Vegas, NV",2025-05-31,1793.4517895013323
"Las Vegas, NV",2025-06-30,1802.1463139268965
"Las Vegas, NV",2025-07-31,1812.3389807663348
"Las Vegas, NV",2025-08-31,1815.7862666507835
"Kansas City, MO",2025-03-31,1521.8905705684654
"Kansas City, MO",2025-04-30,1531.7581997913687
"Kansas City, MO",2025-05-31,1542.2322575559529
"Kansas City, MO",2025-06-30,1552.225964980515
"Kansas City, MO",2025-07-31,1561.2280867657698
"Kansas City, MO",2025-08-31,1566.6241289773643
"Columbus, OH",2025-03-31,1531.7559426962096
"Columbus, OH",2025-04-30,1541.294486811128
"Columbus, OH",2025-05-31,1552.76205228724
"Columbus, OH",2025-06-30,1562.6709173373667
"Columbus, OH",2025-07-31,1571.6968879537358
"Columbus, OH",2025-08-31,1576.6817548941835
"Indianapolis, IN",2025-03-31,1575.8174391146442
"Indianapolis, IN",2025-04-30,1583.6300114374724
"Indianapolis, IN",2025-05-31,1593.8319536449076
"Indianapolis, IN",2025-06-30,1602.174674602469
"Indianapolis, IN",2025-07-31,1611.987830055311
"Indianapolis, IN",2025-08-31,1616.880609482451
"Cleveland, OH",2025-03-31,1437.3275391062666
"Cleveland, OH",2025-04-30,1447.4483129926043
"Cleveland, OH",2025-05-31,1457.2969636054795
"Cleveland, OH",2025-06-30,1465.9175461328407
"Cleveland, OH",2025-07-31,1474.251109340476
"Cleveland, OH",2025-08-31,1481.0575563974392
"San Jose, CA",2025-03-31,3329.885946200816
"San Jose, CA",2025-04-30,3345.99590226577
"San Jose, CA",2025-05-31,3372.440514631526
"San Jose, CA",2025-06-30,3394.149690755918
"San Jose, CA",2025-07-31,3415.024462133969
"San Jose, CA",2025-08-31,3417.957989663175
"Nashville, TN",2025-03-31,1854.6668808760107
"Nashville, TN",2025-04-30,1858.2696940080068
"Nashville, TN",2025-05-31,1866.6989623132029
"Nashville, TN",2025-06-30,1873.4664445570263
"Nashville, TN",2025-07-31,1879.514915014238
"Nashville, TN",2025-08-31,1881.405301461952
"Virginia Beach, VA",2025-03-31,1773.0199688749958
"Virginia Beach, VA",2025-04-30,1783.2806126742944
"Virginia Beach, VA",2025-05-31,1793.706986109515
"Virginia Beach, VA",2025-06-30,1802.9546971738669
"Virginia Beach, VA",2025-07-31,1814.7647722895008
"Virginia Beach, VA",2025-08-31,1821.8269404351208
"Providence, RI",2025-03-31,2158.826937108244
"Providence, RI",2025-04-30,2177.2447863265947
"Providence, RI",2025-05-31,2192.299716723633
"Providence, RI",2025-06-30,2201.4157076297893
"Providence, RI",2025-07-31,2212.8543772263965
"Providence, RI",2025-08-31,2218.3613727286606
"Jacksonville, FL",2025-03-31,1729.8840807622228
"Jacksonville, FL",2025-04-30,1733.6551561681192
"Jacksonville, FL",2025-05-31,1738.8269096822526
"Jacksonville, FL",2025-06-30,1742.4215983833062
"Jacksonville, FL",2025-07-31,1747.312617371978
"Jacksonville, FL",2025-08-31,1750.145579762604
"Milwaukee, WI",2025-03-31,1461.41095053664
"Milwaukee, WI",2025-04-30,1471.897216260613
"Milwaukee, WI",2025-05-31,1481.8024822516804
"Milwaukee, WI",2025-06-30,1490.1258896063298
"Milwaukee, WI",2025-07-31,1494.8637881217664
"Milwaukee, WI",2025-08-31,1497.553252530759
"Oklahoma City, OK",2025-03-31,1377.0842230210324
"Oklahoma City, OK",2025-04-30,1383.8745595526489
"Oklahoma City, OK",2025-05-31,1392.339393282077
"Oklahoma City, OK",2025-06-30,1399.957736918053
"Oklahoma City, OK",2025-07-31,1405.8798363102346
"Oklahoma City, OK",2025-08-31,1410.4548289207755
"Raleigh, NC",2025-03-31,1733.7822809853594
"Raleigh, NC",2025-04-30,1738.030552924069
"Raleigh, NC",2025-05-31,1745.432726492947
"Raleigh, NC",2025-06-30,1753.2685223938165
"Raleigh, NC",2025-07-31,1759.7200395290024
"Raleigh, NC",2025-08-31,1760.7233776643054
"Memphis, TN",2025-03-31,1436.3382122445175
"Memphis, TN",2025-04-30,1440.9701575768283
"Memphis, TN",2025-05-31,1447.0412204665022
"Memphis, TN",2025-06-30,1452.3825197347635
"Memphis, TN",2025-07-31,1457.5208387369462
"Memphis, TN",2025-08-31,1461.1945295632704
"Richmond, VA",2025-03-31,1680.8333652097044
"Richmond, VA",2025-04-30,1693.0199901299166
"Richmond, VA",2025-05-31,1703.494932065997
"Richmond, VA",2025-06-30,1712.9930263740025
"Richmond, VA",2025-07-31,1722.35294973268
"Richmond, VA",2025-08-31,1728.037519355532
"Louisville, KY",2025-03-31,1421.5587432465272
"Louisville, KY",2025-04-30,1434.0109264502212
"Louisville, KY",2025-05-31,1441.1830924137212
"Louisville, KY",2025-06-30,1448.6510861772008
"Louisville, KY",2025-07-31,1454.2307635927905
"Louisville, KY",2025-08-31,1458.2985010003365
"New Orleans, LA",2025-03-31,1642.3658513699645
"New Orleans, LA",2025-04-30,1648.193562825981
"New Orleans, LA",2025-05-31,1654.052544596687
"New Orleans, LA",2025-06-30,1659.335449010171
"New Orleans, LA",2025-07-31,1663.2970812235724
"New Orleans, LA",2025-08-31,1664.9355804178156
"Salt Lake City, UT",2025-03-31,1696.9988449394891
"Salt Lake City, UT",2025-04-30,1703.164389967823
"Salt Lake City, UT",2025-05-31,1709.3531165340528
"Salt Lake City, UT",2025-06-30,1714.4406949298552
"Salt Lake City, UT",2025-07-31,1719.651792947761
"Salt Lake City, UT",2025-08-31,1721.916305724991
"Hartford, CT",2025-03-31,1885.227037708964
"Hartford, CT",2025-04-30,1902.6691798271384
"Hartford, CT",2025-05-31,1920.1360056283067
"Hartford, CT",2025-06-30,1933.257000608736
"Hartford, CT",2025-07-31,1943.600609423636
"Hartford, CT",2025-08-31,1952.2902598307487
"Buffalo, NY",2025-03-31,1372.5776535012922
"Buffalo, NY",2025-04-30,1384.6144121247337
"Buffalo, NY",2025-05-31,1394.0717314704186
"Buffalo, NY",2025-06-30,1402.9392037647756
"Buffalo, NY",2025-07-31,1408.213832685408
"Buffalo, NY",2025-08-31,1411.4590781482702
"Birmingham, AL",2025-03-31,1422.2658084758857
"Birmingham, AL",2025-04-30,1430.233832324104
"Birmingham, AL",2025-05-31,1436.2882443729618
"Birmingham, AL",2025-06-30,1442.4561342306372
"Birmingham, AL",2025-07-31,1449.6564473035469
"Birmingham, AL",2025-08-31,1454.8978680419875
"Rochester, NY",2025-03-31,1530.1141779106638
"Rochester, NY",2025-04-30,1539.950343870675
"Rochester, NY",2025-05-31,1549.6186713648203
"Rochester, NY",2025-06-30,1559.4884761692922
"Rochester, NY",2025-07-31,1567.341426396786
"Rochester, NY",2025-08-31,1571.3728814186838
"Grand Rapids, MI",2025-03-31,1662.9179582360482
"Grand Rapids, MI",2025-04-30,1677.8255341956356
"Grand Rapids, MI",2025-05-31,1693.846566052206
"Grand Rapids, MI",2025-06-30,1706.8555867740697
"Grand Rapids, MI",2025-07-31,1717.9483194785912
"Grand Rapids, MI",2025-08-31,1722.4375741875697
"Tucson, AZ",2025-03-31,1604.7754856837053
"Tucson, AZ",2025-04-30,1610.131196000848
"Tucson, AZ",2025-05-31,1613.7981299232715
"Tucson, AZ",2025-06-30,1618.1219822922335
